#"geneId","sample","tissue","score"
"ENSG00000141736.13","GTEX-1117F-0226-SM-5GZZ7","adiposeSubcut","25.59"
"ENSG00000141736.13","GTEX-ZZPU-2726-SM-5NQ8O","adiposeSubcut","12.11"
"ENSG00000141736.13","GTEX-ZZ64-1626-SM-5E43W","adiposeSubcut","6.77"
"ENSG00000141736.13","GTEX-ZYY3-0226-SM-5E45M","adiposeSubcut","5.799"
"ENSG00000141736.13","GTEX-ZYW4-0226-SM-5E44M","adiposeSubcut","15.87"
"ENSG00000141736.13","GTEX-ZYVF-0226-SM-5GIEG","adiposeSubcut","14.38"
"ENSG00000141736.13","GTEX-ZYT6-0326-SM-7LG5R","adiposeSubcut","20.18"
"ENSG00000141736.13","GTEX-ZYFD-0226-SM-5NQ86","adiposeSubcut","16.7"
"ENSG00000141736.13","GTEX-ZYFC-0326-SM-5NQ7H","adiposeSubcut","16.06"
"ENSG00000141736.13","GTEX-ZXG5-0226-SM-59HJI","adiposeSubcut","15.15"
"ENSG00000141736.13","GTEX-ZXES-2026-SM-5NQ6R","adiposeSubcut","5.042"
"ENSG00000141736.13","GTEX-ZVZP-2326-SM-59HL4","adiposeSubcut","18"
"ENSG00000141736.13","GTEX-ZVZO-0226-SM-5A5LA","adiposeSubcut","18.15"
"ENSG00000141736.13","GTEX-ZVTK-0526-SM-5GZWT","adiposeSubcut","8.573"
"ENSG00000141736.13","GTEX-ZVT4-0226-SM-51MSD","adiposeSubcut","9.207"
"ENSG00000141736.13","GTEX-ZVT2-2226-SM-5NQ6P","adiposeSubcut","11"
"ENSG00000141736.13","GTEX-ZVP2-1826-SM-5GU62","adiposeSubcut","15.4"
"ENSG00000141736.13","GTEX-ZVE2-0326-SM-57WFC","adiposeSubcut","16.69"
"ENSG00000141736.13","GTEX-ZV68-0226-SM-59HJF","adiposeSubcut","14.2"
"ENSG00000141736.13","GTEX-ZUA1-0226-SM-5NQ9Q","adiposeSubcut","16.35"
"ENSG00000141736.13","GTEX-ZTX8-1526-SM-5N9GI","adiposeSubcut","13.52"
"ENSG00000141736.13","GTEX-ZTSS-2026-SM-5987K","adiposeSubcut","19.01"
"ENSG00000141736.13","GTEX-ZTPG-0226-SM-5O99I","adiposeSubcut","6.381"
"ENSG00000141736.13","GTEX-ZT9X-1926-SM-57WE7","adiposeSubcut","9.614"
"ENSG00000141736.13","GTEX-ZQG8-1526-SM-5HL65","adiposeSubcut","6.995"
"ENSG00000141736.13","GTEX-ZPU1-2426-SM-4WWFM","adiposeSubcut","26.36"
"ENSG00000141736.13","GTEX-ZPIC-1826-SM-57WFE","adiposeSubcut","13.1"
"ENSG00000141736.13","GTEX-ZPCL-2126-SM-57WFZ","adiposeSubcut","10.09"
"ENSG00000141736.13","GTEX-ZP4G-2326-SM-57WEM","adiposeSubcut","10.48"
"ENSG00000141736.13","GTEX-ZLWG-2226-SM-DO92V","adiposeSubcut","14.96"
"ENSG00000141736.13","GTEX-ZLV1-1826-SM-5FQU5","adiposeSubcut","14.02"
"ENSG00000141736.13","GTEX-ZLFU-2626-SM-DO91L","adiposeSubcut","15.19"
"ENSG00000141736.13","GTEX-ZGAY-0626-SM-DO92E","adiposeSubcut","12.35"
"ENSG00000141736.13","GTEX-ZF3C-0226-SM-4WWB3","adiposeSubcut","9.147"
"ENSG00000141736.13","GTEX-ZF29-2226-SM-4WWB9","adiposeSubcut","14.4"
"ENSG00000141736.13","GTEX-ZF28-0226-SM-5S2OE","adiposeSubcut","11.54"
"ENSG00000141736.13","GTEX-ZEX8-2326-SM-5S2MN","adiposeSubcut","21.86"
"ENSG00000141736.13","GTEX-ZE9C-2826-SM-5S2MO","adiposeSubcut","10.94"
"ENSG00000141736.13","GTEX-ZE7O-0226-SM-5S2N1","adiposeSubcut","11.49"
"ENSG00000141736.13","GTEX-ZDYS-2126-SM-5S2P2","adiposeSubcut","11.24"
"ENSG00000141736.13","GTEX-ZDXO-2426-SM-5S2NJ","adiposeSubcut","22.66"
"ENSG00000141736.13","GTEX-ZDTT-2626-SM-5S2OP","adiposeSubcut","11.23"
"ENSG00000141736.13","GTEX-ZDTS-0226-SM-5HL7Q","adiposeSubcut","24.79"
"ENSG00000141736.13","GTEX-ZC5H-0126-SM-4WAYL","adiposeSubcut","10.34"
"ENSG00000141736.13","GTEX-ZAK1-0226-SM-5CVMX","adiposeSubcut","9.722"
"ENSG00000141736.13","GTEX-ZAJG-0226-SM-5HL81","adiposeSubcut","7.245"
"ENSG00000141736.13","GTEX-Z9EW-1826-SM-5CVMA","adiposeSubcut","29.28"
"ENSG00000141736.13","GTEX-Z93T-0226-SM-5HL5Z","adiposeSubcut","10.94"
"ENSG00000141736.13","GTEX-Z93S-0226-SM-5HL7R","adiposeSubcut","16.65"
"ENSG00000141736.13","GTEX-YJ8O-2426-SM-5HL7S","adiposeSubcut","13.51"
"ENSG00000141736.13","GTEX-YJ8A-0526-SM-5IFHT","adiposeSubcut","10.37"
"ENSG00000141736.13","GTEX-YJ89-0226-SM-4TT3Y","adiposeSubcut","14.53"
"ENSG00000141736.13","GTEX-YFCO-2026-SM-4W21Q","adiposeSubcut","19.04"
"ENSG00000141736.13","GTEX-YFC4-0226-SM-57WD2","adiposeSubcut","13.01"
"ENSG00000141736.13","GTEX-YF7O-2426-SM-5IFJL","adiposeSubcut","14.75"
"ENSG00000141736.13","GTEX-YECK-0226-SM-4W215","adiposeSubcut","39.38"
"ENSG00000141736.13","GTEX-YEC4-2426-SM-57WFO","adiposeSubcut","13.45"
"ENSG00000141736.13","GTEX-YEC3-1226-SM-5IFI8","adiposeSubcut","22.15"
"ENSG00000141736.13","GTEX-YB5K-2226-SM-4WWG1","adiposeSubcut","9.472"
"ENSG00000141736.13","GTEX-YB5E-2126-SM-5IFI7","adiposeSubcut","6.045"
"ENSG00000141736.13","GTEX-Y9LG-2026-SM-62LFS","adiposeSubcut","5.462"
"ENSG00000141736.13","GTEX-Y8LW-1926-SM-4WWFZ","adiposeSubcut","10.87"
"ENSG00000141736.13","GTEX-Y8E5-0226-SM-57WCM","adiposeSubcut","13.42"
"ENSG00000141736.13","GTEX-Y8E4-0726-SM-4WWFN","adiposeSubcut","24.31"
"ENSG00000141736.13","GTEX-Y5V6-2526-SM-5IFJV","adiposeSubcut","4.964"
"ENSG00000141736.13","GTEX-Y5V5-2426-SM-5IFJA","adiposeSubcut","20.06"
"ENSG00000141736.13","GTEX-Y3IK-2526-SM-4WWDM","adiposeSubcut","10.99"
"ENSG00000141736.13","GTEX-Y3I4-2226-SM-4TT7O","adiposeSubcut","22.94"
"ENSG00000141736.13","GTEX-Y114-2326-SM-4TT7X","adiposeSubcut","15.8"
"ENSG00000141736.13","GTEX-Y111-0226-SM-4SOIW","adiposeSubcut","28.52"
"ENSG00000141736.13","GTEX-XYKS-2726-SM-4E3IC","adiposeSubcut","29.19"
"ENSG00000141736.13","GTEX-XXEK-2426-SM-4BRUS","adiposeSubcut","17"
"ENSG00000141736.13","GTEX-XV7Q-2626-SM-4BRVA","adiposeSubcut","25.6"
"ENSG00000141736.13","GTEX-XUZC-1826-SM-4BRVO","adiposeSubcut","14.45"
"ENSG00000141736.13","GTEX-XUYS-0226-SM-47JX1","adiposeSubcut","12.41"
"ENSG00000141736.13","GTEX-XUW1-0526-SM-4BOP3","adiposeSubcut","13.59"
"ENSG00000141736.13","GTEX-XQ8I-0526-SM-4BOPS","adiposeSubcut","20.42"
"ENSG00000141736.13","GTEX-XQ3S-1626-SM-4WAYN","adiposeSubcut","26.13"
"ENSG00000141736.13","GTEX-XPVG-2726-SM-4B66W","adiposeSubcut","9.792"
"ENSG00000141736.13","GTEX-XOT4-0226-SM-4B66Z","adiposeSubcut","24.14"
"ENSG00000141736.13","GTEX-XMK1-2226-SM-4B673","adiposeSubcut","16.21"
"ENSG00000141736.13","GTEX-XMD2-0226-SM-4WWEE","adiposeSubcut","16.64"
"ENSG00000141736.13","GTEX-XLM4-0226-SM-4AT4N","adiposeSubcut","13.4"
"ENSG00000141736.13","GTEX-XK95-0426-SM-4AT4R","adiposeSubcut","9.538"
"ENSG00000141736.13","GTEX-XGQ4-2226-SM-4AT4Y","adiposeSubcut","15.32"
"ENSG00000141736.13","GTEX-XBEW-0726-SM-4QARX","adiposeSubcut","11.92"
"ENSG00000141736.13","GTEX-XBED-2326-SM-47JYR","adiposeSubcut","19.08"
"ENSG00000141736.13","GTEX-XBEC-0326-SM-4AT4M","adiposeSubcut","18.18"
"ENSG00000141736.13","GTEX-XAJ8-0926-SM-47JXZ","adiposeSubcut","15.2"
"ENSG00000141736.13","GTEX-X8HC-0226-SM-4E3K1","adiposeSubcut","5.86"
"ENSG00000141736.13","GTEX-X88G-0226-SM-4GIE4","adiposeSubcut","21.91"
"ENSG00000141736.13","GTEX-X638-0226-SM-47JZ9","adiposeSubcut","30.69"
"ENSG00000141736.13","GTEX-X5EB-2426-SM-4E3HX","adiposeSubcut","15.45"
"ENSG00000141736.13","GTEX-X4XY-0326-SM-46MVZ","adiposeSubcut","19.61"
"ENSG00000141736.13","GTEX-X4LF-1726-SM-3NMBZ","adiposeSubcut","20.56"
"ENSG00000141736.13","GTEX-X4EO-0426-SM-4QASA","adiposeSubcut","16.89"
"ENSG00000141736.13","GTEX-X261-0226-SM-3NMD2","adiposeSubcut","13.52"
"ENSG00000141736.13","GTEX-X15G-2326-SM-4PQZS","adiposeSubcut","13.09"
"ENSG00000141736.13","GTEX-WYJK-0226-SM-EYYV8","adiposeSubcut","12.07"
"ENSG00000141736.13","GTEX-WY7C-2426-SM-3NB2V","adiposeSubcut","15.72"
"ENSG00000141736.13","GTEX-WVLH-0226-SM-3MJG6","adiposeSubcut","18.59"
"ENSG00000141736.13","GTEX-WVJS-0226-SM-4MVOU","adiposeSubcut","23.5"
"ENSG00000141736.13","GTEX-WL46-0326-SM-3LK6Y","adiposeSubcut","26.26"
"ENSG00000141736.13","GTEX-WI4N-1126-SM-3LK7Q","adiposeSubcut","14.87"
"ENSG00000141736.13","GTEX-WHPG-2126-SM-4M1ZM","adiposeSubcut","16.26"
"ENSG00000141736.13","GTEX-WH7G-2226-SM-3NMBN","adiposeSubcut","17.86"
"ENSG00000141736.13","GTEX-WFON-2226-SM-3TW8W","adiposeSubcut","18.75"
"ENSG00000141736.13","GTEX-WFJO-1926-SM-3GILA","adiposeSubcut","13.18"
"ENSG00000141736.13","GTEX-WFG8-2326-SM-DIPDX","adiposeSubcut","11.26"
"ENSG00000141736.13","GTEX-WFG7-2526-SM-EWRM5","adiposeSubcut","10.32"
"ENSG00000141736.13","GTEX-WEY5-1926-SM-3GIL8","adiposeSubcut","14"
"ENSG00000141736.13","GTEX-W5X1-2626-SM-4LMI8","adiposeSubcut","21.13"
"ENSG00000141736.13","GTEX-W5WG-2526-SM-4SOJ2","adiposeSubcut","13.1"
"ENSG00000141736.13","GTEX-VUSH-0226-SM-EXUQV","adiposeSubcut","13.4"
"ENSG00000141736.13","GTEX-VUSG-2426-SM-4KKZG","adiposeSubcut","10.38"
"ENSG00000141736.13","GTEX-VJYA-1326-SM-3GIJC","adiposeSubcut","11.95"
"ENSG00000141736.13","GTEX-VJWN-0226-SM-EZ6LF","adiposeSubcut","11.98"
"ENSG00000141736.13","GTEX-UTHO-0426-SM-CE6QU","adiposeSubcut","38.78"
"ENSG00000141736.13","GTEX-UJHI-1626-SM-3DB9A","adiposeSubcut","19.33"
"ENSG00000141736.13","GTEX-U8XE-0426-SM-3DB91","adiposeSubcut","3.989"
"ENSG00000141736.13","GTEX-U4B1-1726-SM-3DB9F","adiposeSubcut","11.12"
"ENSG00000141736.13","GTEX-U412-0526-SM-3DB9I","adiposeSubcut","12.12"
"ENSG00000141736.13","GTEX-U3ZN-2626-SM-3DB7T","adiposeSubcut","12.99"
"ENSG00000141736.13","GTEX-U3ZM-1026-SM-EZ6LD","adiposeSubcut","8.062"
"ENSG00000141736.13","GTEX-TSE9-0226-SM-3DB84","adiposeSubcut","10.5"
"ENSG00000141736.13","GTEX-TMZS-0226-SM-3DB9N","adiposeSubcut","7.875"
"ENSG00000141736.13","GTEX-TML8-2026-SM-32QOP","adiposeSubcut","23.91"
"ENSG00000141736.13","GTEX-TKQ1-1126-SM-4GIAZ","adiposeSubcut","8.82"
"ENSG00000141736.13","GTEX-T8EM-1126-SM-3DB7D","adiposeSubcut","12.23"
"ENSG00000141736.13","GTEX-T6MO-1726-SM-33HB8","adiposeSubcut","5.258"
"ENSG00000141736.13","GTEX-T6MN-0226-SM-32PMD","adiposeSubcut","27.21"
"ENSG00000141736.13","GTEX-T5JW-1726-SM-3GADN","adiposeSubcut","4.673"
"ENSG00000141736.13","GTEX-T5JC-0526-SM-32PM7","adiposeSubcut","10.04"
"ENSG00000141736.13","GTEX-T2IS-0226-SM-32QPH","adiposeSubcut","12.55"
"ENSG00000141736.13","GTEX-SUCS-1826-SM-32PM1","adiposeSubcut","12.94"
"ENSG00000141736.13","GTEX-SSA3-0226-SM-32QPN","adiposeSubcut","16.99"
"ENSG00000141736.13","GTEX-SNOS-1426-SM-32PLY","adiposeSubcut","20.78"
"ENSG00000141736.13","GTEX-SNMC-1326-SM-2XCFK","adiposeSubcut","7.66"
"ENSG00000141736.13","GTEX-SN8G-0226-SM-4DM6B","adiposeSubcut","14.42"
"ENSG00000141736.13","GTEX-SJXC-0226-SM-2XCDU","adiposeSubcut","19.06"
"ENSG00000141736.13","GTEX-SIU8-0226-SM-2XCDS","adiposeSubcut","28.03"
"ENSG00000141736.13","GTEX-S95S-1326-SM-2XCDK","adiposeSubcut","13.41"
"ENSG00000141736.13","GTEX-S7SE-0226-SM-2XCD4","adiposeSubcut","17.23"
"ENSG00000141736.13","GTEX-S4P3-1526-SM-E9J3W","adiposeSubcut","12.1"
"ENSG00000141736.13","GTEX-S33H-1126-SM-2XCB6","adiposeSubcut","13.9"
"ENSG00000141736.13","GTEX-S32W-2226-SM-2XCAY","adiposeSubcut","15.75"
"ENSG00000141736.13","GTEX-RWSA-0226-SM-2XCBA","adiposeSubcut","11.73"
"ENSG00000141736.13","GTEX-RVPV-1526-SM-EXOHF","adiposeSubcut","10.9"
"ENSG00000141736.13","GTEX-RUSQ-1626-SM-EZ6L4","adiposeSubcut","10.59"
"ENSG00000141736.13","GTEX-RU72-1026-SM-46MUG","adiposeSubcut","16.51"
"ENSG00000141736.13","GTEX-RTLS-0226-SM-2TF5E","adiposeSubcut","12.04"
"ENSG00000141736.13","GTEX-RNOR-0226-SM-EZ6MF","adiposeSubcut","16.12"
"ENSG00000141736.13","GTEX-RM2N-1726-SM-2TF55","adiposeSubcut","18.32"
"ENSG00000141736.13","GTEX-REY6-0326-SM-2TF5A","adiposeSubcut","6.474"
"ENSG00000141736.13","GTEX-R55G-2426-SM-2TC5I","adiposeSubcut","8.738"
"ENSG00000141736.13","GTEX-R55D-0326-SM-48FES","adiposeSubcut","17.07"
"ENSG00000141736.13","GTEX-R55C-1626-SM-48FEG","adiposeSubcut","12.11"
"ENSG00000141736.13","GTEX-R53T-1626-SM-3GAEW","adiposeSubcut","11.06"
"ENSG00000141736.13","GTEX-R45C-0226-SM-EVYAJ","adiposeSubcut","24"
"ENSG00000141736.13","GTEX-R3RS-0226-SM-EYYVE","adiposeSubcut","16.15"
"ENSG00000141736.13","GTEX-QV44-1825-SM-447CF","adiposeSubcut","18.49"
"ENSG00000141736.13","GTEX-QV31-1326-SM-2S1QE","adiposeSubcut","12.77"
"ENSG00000141736.13","GTEX-QMRM-1726-SM-2S1QG","adiposeSubcut","14.78"
"ENSG00000141736.13","GTEX-QLQW-1226-SM-2S1Q9","adiposeSubcut","8.017"
"ENSG00000141736.13","GTEX-QLQ7-1526-SM-2S1QA","adiposeSubcut","18.85"
"ENSG00000141736.13","GTEX-QESD-1526-SM-2S1QT","adiposeSubcut","9.655"
"ENSG00000141736.13","GTEX-QEL4-0326-SM-3GAE5","adiposeSubcut","15.58"
"ENSG00000141736.13","GTEX-QEG5-0326-SM-2S1PB","adiposeSubcut","11.61"
"ENSG00000141736.13","GTEX-QEG4-0326-SM-DIPE3","adiposeSubcut","21.48"
"ENSG00000141736.13","GTEX-QDVN-2126-SM-33HBS","adiposeSubcut","72.25"
"ENSG00000141736.13","GTEX-QDVJ-1826-SM-2S1P3","adiposeSubcut","15.21"
"ENSG00000141736.13","GTEX-QDT8-0226-SM-32PL4","adiposeSubcut","9.578"
"ENSG00000141736.13","GTEX-QCQG-1826-SM-2S1P2","adiposeSubcut","14.58"
"ENSG00000141736.13","GTEX-Q734-1826-SM-2I3EL","adiposeSubcut","19.03"
"ENSG00000141736.13","GTEX-Q2AI-1426-SM-2S1P5","adiposeSubcut","21.61"
"ENSG00000141736.13","GTEX-Q2AH-1726-SM-DIPDV","adiposeSubcut","10.13"
"ENSG00000141736.13","GTEX-Q2AG-0226-SM-2S1P4","adiposeSubcut","14.37"
"ENSG00000141736.13","GTEX-PX3G-0226-SM-DKPOF","adiposeSubcut","15.41"
"ENSG00000141736.13","GTEX-PWN1-0226-SM-DKPO9","adiposeSubcut","13.22"
"ENSG00000141736.13","GTEX-PWCY-1926-SM-3NB25","adiposeSubcut","6.097"
"ENSG00000141736.13","GTEX-PSDG-0326-SM-48TCP","adiposeSubcut","15.46"
"ENSG00000141736.13","GTEX-POYW-0726-SM-2XCEO","adiposeSubcut","12.5"
"ENSG00000141736.13","GTEX-POMQ-2326-SM-DHXIS","adiposeSubcut","13.05"
"ENSG00000141736.13","GTEX-PLZ6-1326-SM-3NB24","adiposeSubcut","6.916"
"ENSG00000141736.13","GTEX-PLZ5-1826-SM-3NB22","adiposeSubcut","17.34"
"ENSG00000141736.13","GTEX-PLZ4-0226-SM-CYPR1","adiposeSubcut","16.35"
"ENSG00000141736.13","GTEX-P78B-0226-SM-3NB1Z","adiposeSubcut","14.23"
"ENSG00000141736.13","GTEX-P4QT-0226-SM-3LK68","adiposeSubcut","31.21"
"ENSG00000141736.13","GTEX-P4QS-0226-SM-3NB1U","adiposeSubcut","22.34"
"ENSG00000141736.13","GTEX-P4PQ-0226-SM-2S1NK","adiposeSubcut","24.25"
"ENSG00000141736.13","GTEX-P4PP-0226-SM-D4P1Z","adiposeSubcut","10.71"
"ENSG00000141736.13","GTEX-P44H-0326-SM-2XCES","adiposeSubcut","7.223"
"ENSG00000141736.13","GTEX-P44G-2326-SM-2XCCZ","adiposeSubcut","3.182"
"ENSG00000141736.13","GTEX-OXRP-0226-SM-3NB14","adiposeSubcut","9.317"
"ENSG00000141736.13","GTEX-OXRO-0226-SM-3LK6F","adiposeSubcut","12.01"
"ENSG00000141736.13","GTEX-OXRN-0226-SM-2I5EJ","adiposeSubcut","19.34"
"ENSG00000141736.13","GTEX-OXRL-0226-SM-3NB18","adiposeSubcut","29.82"
"ENSG00000141736.13","GTEX-OXRK-0326-SM-3NB3R","adiposeSubcut","26.83"
"ENSG00000141736.13","GTEX-OOBK-0226-SM-2YUMF","adiposeSubcut","11.6"
"ENSG00000141736.13","GTEX-OOBJ-0226-SM-2YUMM","adiposeSubcut","33.94"
"ENSG00000141736.13","GTEX-OIZI-0226-SM-2XCEE","adiposeSubcut","10.57"
"ENSG00000141736.13","GTEX-OIZH-0226-SM-2YUMH","adiposeSubcut","22.32"
"ENSG00000141736.13","GTEX-OIZG-0826-SM-E9TI4","adiposeSubcut","12.92"
"ENSG00000141736.13","GTEX-OIZF-0226-SM-E9TI3","adiposeSubcut","17.43"
"ENSG00000141736.13","GTEX-OHPN-0226-SM-48TBV","adiposeSubcut","8.617"
"ENSG00000141736.13","GTEX-OHPM-0226-SM-3LK61","adiposeSubcut","42.7"
"ENSG00000141736.13","GTEX-OHPK-0226-SM-3MJH6","adiposeSubcut","15.27"
"ENSG00000141736.13","GTEX-O5YV-0226-SM-48TBY","adiposeSubcut","6.867"
"ENSG00000141736.13","GTEX-O5YT-0226-SM-32PK5","adiposeSubcut","10.51"
"ENSG00000141736.13","GTEX-NPJ8-0226-SM-48TBN","adiposeSubcut","23.88"
"ENSG00000141736.13","GTEX-NFK9-0326-SM-3MJGV","adiposeSubcut","29.43"
"ENSG00000141736.13","GTEX-N7MS-0326-SM-4E3K2","adiposeSubcut","24.94"
"ENSG00000141736.13","GTEX-1S83E-0226-SM-EVYCW","adiposeSubcut","27.59"
"ENSG00000141736.13","GTEX-1S831-0326-SM-EVYD3","adiposeSubcut","13.02"
"ENSG00000141736.13","GTEX-1S82P-0226-SM-E6CI6","adiposeSubcut","10.19"
"ENSG00000141736.13","GTEX-1S5ZU-0226-SM-E6CHW","adiposeSubcut","12.34"
"ENSG00000141736.13","GTEX-1RQEC-0526-SM-E6CHV","adiposeSubcut","20.15"
"ENSG00000141736.13","GTEX-1RDX4-0226-SM-DTXG1","adiposeSubcut","18.72"
"ENSG00000141736.13","GTEX-1RAZR-0226-SM-EVYC6","adiposeSubcut","16.15"
"ENSG00000141736.13","GTEX-1RAZQ-0626-SM-E8VOR","adiposeSubcut","9.125"
"ENSG00000141736.13","GTEX-1RAZA-0226-SM-E9U4W","adiposeSubcut","24.28"
"ENSG00000141736.13","GTEX-1R9PM-2126-SM-E8VOB","adiposeSubcut","11.78"
"ENSG00000141736.13","GTEX-1R9K5-0226-SM-EWRNF","adiposeSubcut","24"
"ENSG00000141736.13","GTEX-1R7EV-1926-SM-EVYBF","adiposeSubcut","3.491"
"ENSG00000141736.13","GTEX-1R7EU-0326-SM-EWRNJ","adiposeSubcut","26.49"
"ENSG00000141736.13","GTEX-1R46S-0526-SM-EVYBZ","adiposeSubcut","10.63"
"ENSG00000141736.13","GTEX-1QW4Y-1626-SM-EAZ41","adiposeSubcut","10.59"
"ENSG00000141736.13","GTEX-1QPFJ-0126-SM-E9J4B","adiposeSubcut","10.9"
"ENSG00000141736.13","GTEX-1QP9N-1526-SM-DTXFK","adiposeSubcut","16.79"
"ENSG00000141736.13","GTEX-1QP6S-0126-SM-E9J4K","adiposeSubcut","13.72"
"ENSG00000141736.13","GTEX-1QP67-1726-SM-E8VOP","adiposeSubcut","6.541"
"ENSG00000141736.13","GTEX-1QP66-1326-SM-DTXDQ","adiposeSubcut","13.81"
"ENSG00000141736.13","GTEX-1QP2A-0226-SM-EVYBC","adiposeSubcut","17.91"
"ENSG00000141736.13","GTEX-1QP29-0726-SM-DTXFM","adiposeSubcut","11.11"
"ENSG00000141736.13","GTEX-1QP28-0226-SM-E9J2N","adiposeSubcut","17.43"
"ENSG00000141736.13","GTEX-1QEPI-0226-SM-EWRMR","adiposeSubcut","20.32"
"ENSG00000141736.13","GTEX-1QCLY-0526-SM-EAZ47","adiposeSubcut","16.01"
"ENSG00000141736.13","GTEX-1QAET-1126-SM-E8VML","adiposeSubcut","14.61"
"ENSG00000141736.13","GTEX-1PWST-0326-SM-EAZ42","adiposeSubcut","8.188"
"ENSG00000141736.13","GTEX-1PPH8-0626-SM-EWRN9","adiposeSubcut","7.268"
"ENSG00000141736.13","GTEX-1PPGY-0326-SM-DTXFD","adiposeSubcut","42.01"
"ENSG00000141736.13","GTEX-1POEN-0226-SM-EYYXE","adiposeSubcut","13.59"
"ENSG00000141736.13","GTEX-1PIIG-0326-SM-EVYBV","adiposeSubcut","9.773"
"ENSG00000141736.13","GTEX-1PIGE-0526-SM-DTXFA","adiposeSubcut","15.69"
"ENSG00000141736.13","GTEX-1PFEY-1626-SM-E9J3M","adiposeSubcut","8.707"
"ENSG00000141736.13","GTEX-1PDJ9-0426-SM-E9J3E","adiposeSubcut","11.03"
"ENSG00000141736.13","GTEX-1PBJI-0426-SM-E8VNM","adiposeSubcut","17.21"
"ENSG00000141736.13","GTEX-1OJC4-1726-SM-EXUSV","adiposeSubcut","25.99"
"ENSG00000141736.13","GTEX-1OFPY-2326-SM-E8VNU","adiposeSubcut","12.4"
"ENSG00000141736.13","GTEX-1NHNU-1126-SM-E9J2C","adiposeSubcut","17.56"
"ENSG00000141736.13","GTEX-1N2EF-0626-SM-E9J32","adiposeSubcut","9.176"
"ENSG00000141736.13","GTEX-1N2DW-0326-SM-E9TK3","adiposeSubcut","21.84"
"ENSG00000141736.13","GTEX-1MUQO-0526-SM-E9J31","adiposeSubcut","14.09"
"ENSG00000141736.13","GTEX-1MJK2-0526-SM-DTXE6","adiposeSubcut","26.29"
"ENSG00000141736.13","GTEX-1MGNQ-0226-SM-EVYCK","adiposeSubcut","17.65"
"ENSG00000141736.13","GTEX-1MCYP-1826-SM-E9J2Q","adiposeSubcut","6.774"
"ENSG00000141736.13","GTEX-1MCC2-2326-SM-E9U5G","adiposeSubcut","12.5"
"ENSG00000141736.13","GTEX-1MA7X-2126-SM-E6CIX","adiposeSubcut","35.63"
"ENSG00000141736.13","GTEX-1MA7W-1926-SM-E6CIO","adiposeSubcut","8.706"
"ENSG00000141736.13","GTEX-1M5QR-2126-SM-DKPQM","adiposeSubcut","8.783"
"ENSG00000141736.13","GTEX-1LVAO-0226-SM-E9U6O","adiposeSubcut","25.26"
"ENSG00000141736.13","GTEX-1LVAN-0126-SM-COH4H","adiposeSubcut","16.87"
"ENSG00000141736.13","GTEX-1LVA9-0226-SM-E9U5N","adiposeSubcut","19.07"
"ENSG00000141736.13","GTEX-1LSVX-0126-SM-EVYCY","adiposeSubcut","16.6"
"ENSG00000141736.13","GTEX-1LSNM-2026-SM-E6CIJ","adiposeSubcut","37.22"
"ENSG00000141736.13","GTEX-1LSNL-0526-SM-DIPFI","adiposeSubcut","25.98"
"ENSG00000141736.13","GTEX-1LH75-2526-SM-E9U5A","adiposeSubcut","5.888"
"ENSG00000141736.13","GTEX-1LGRB-2426-SM-CNPP3","adiposeSubcut","10.06"
"ENSG00000141736.13","GTEX-1LGOU-2226-SM-E9U56","adiposeSubcut","6.944"
"ENSG00000141736.13","GTEX-1LG7Z-2026-SM-DLHBP","adiposeSubcut","16.53"
"ENSG00000141736.13","GTEX-1LG7Y-0426-SM-DKPQB","adiposeSubcut","17.58"
"ENSG00000141736.13","GTEX-1LBAC-0226-SM-DHXJZ","adiposeSubcut","13.3"
"ENSG00000141736.13","GTEX-1LB8K-0326-SM-E9TJC","adiposeSubcut","38.46"
"ENSG00000141736.13","GTEX-1L5NE-2626-SM-E9U6P","adiposeSubcut","15.85"
"ENSG00000141736.13","GTEX-1KXAM-2326-SM-CYPTD","adiposeSubcut","18.04"
"ENSG00000141736.13","GTEX-1KWVE-1326-SM-E6CJ1","adiposeSubcut","33.96"
"ENSG00000141736.13","GTEX-1KD5A-0326-SM-D5OVD","adiposeSubcut","50.56"
"ENSG00000141736.13","GTEX-1KANA-0826-SM-D3L9J","adiposeSubcut","4.089"
"ENSG00000141736.13","GTEX-1KAFJ-2426-SM-D4P32","adiposeSubcut","17.41"
"ENSG00000141736.13","GTEX-1K9T9-0226-SM-E9U6K","adiposeSubcut","7.737"
"ENSG00000141736.13","GTEX-1K2DA-2126-SM-CGQGL","adiposeSubcut","5.436"
"ENSG00000141736.13","GTEX-1JN76-0226-SM-CMKGO","adiposeSubcut","13.53"
"ENSG00000141736.13","GTEX-1JN6P-0226-SM-COH34","adiposeSubcut","8.271"
"ENSG00000141736.13","GTEX-1JN1M-0126-SM-D4P23","adiposeSubcut","11.6"
"ENSG00000141736.13","GTEX-1JMQL-0326-SM-CNPP6","adiposeSubcut","5.881"
"ENSG00000141736.13","GTEX-1JMQK-0126-SM-CM2S3","adiposeSubcut","16"
"ENSG00000141736.13","GTEX-1JMQI-2026-SM-CMKGP","adiposeSubcut","11.35"
"ENSG00000141736.13","GTEX-1JMPY-1426-SM-ARL8Z","adiposeSubcut","22.65"
"ENSG00000141736.13","GTEX-1JMLX-0126-SM-CMKG9","adiposeSubcut","16.82"
"ENSG00000141736.13","GTEX-1JKYR-0226-SM-CNPOK","adiposeSubcut","25.75"
